UAV_method,start_threshold,number_nodes,ground_width,ground_height,network_type,time_limit,number_task
least_power,0.4,10,10,10,homogeneous,604800,128
least_power_k,0.4,10,10,10,homogeneous,604800,128
least_power_partition,0.4,10,10,10,homogeneous,604800,128
least_power,0.5,10,10,10,homogeneous,604800,130
least_power_k,0.5,10,10,10,homogeneous,604800,129
least_power_partition,0.5,10,10,10,homogeneous,604800,130
least_power,0.6,10,10,10,homogeneous,604800,129
least_power_k,0.6,10,10,10,homogeneous,604800,130
least_power_partition,0.6,10,10,10,homogeneous,604800,130
least_power,0.7,10,10,10,homogeneous,604800,132
least_power_k,0.7,10,10,10,homogeneous,604800,136
least_power_partition,0.7,10,10,10,homogeneous,604800,133
least_power,0.8,10,10,10,homogeneous,604800,131
least_power_k,0.8,10,10,10,homogeneous,604800,131
least_power_partition,0.8,10,10,10,homogeneous,604800,153
least_power,0.4,10,100,100,homogeneous,604800,126
least_power_k,0.4,10,100,100,homogeneous,604800,127
least_power_partition,0.4,10,100,100,homogeneous,604800,127
least_power,0.5,10,100,100,homogeneous,604800,128
least_power_k,0.5,10,100,100,homogeneous,604800,127
least_power_partition,0.5,10,100,100,homogeneous,604800,129
least_power,0.6,10,100,100,homogeneous,604800,129
least_power_k,0.6,10,100,100,homogeneous,604800,129
least_power_partition,0.6,10,100,100,homogeneous,604800,128
least_power,0.7,10,100,100,homogeneous,604800,131
least_power_k,0.7,10,100,100,homogeneous,604800,130
least_power_partition,0.7,10,100,100,homogeneous,604800,130
least_power,0.8,10,100,100,homogeneous,604800,135
least_power_k,0.8,10,100,100,homogeneous,604800,133
least_power_partition,0.8,10,100,100,homogeneous,604800,153
least_power,0.4,10,500,500,homogeneous,604800,119
least_power_k,0.4,10,500,500,homogeneous,604800,120
least_power_partition,0.4,10,500,500,homogeneous,604800,116
least_power,0.5,10,500,500,homogeneous,604800,127
least_power_k,0.5,10,500,500,homogeneous,604800,123
least_power_partition,0.5,10,500,500,homogeneous,604800,124
least_power,0.6,10,500,500,homogeneous,604800,129
least_power_k,0.6,10,500,500,homogeneous,604800,125
least_power_partition,0.6,10,500,500,homogeneous,604800,130
least_power,0.7,10,500,500,homogeneous,604800,138
least_power_k,0.7,10,500,500,homogeneous,604800,130
least_power_partition,0.7,10,500,500,homogeneous,604800,133
least_power,0.8,10,500,500,homogeneous,604800,157
least_power_k,0.8,10,500,500,homogeneous,604800,142
least_power_partition,0.8,10,500,500,homogeneous,604800,159
least_power,0.4,10,1000,1000,homogeneous,604800,123
least_power_k,0.4,10,1000,1000,homogeneous,604800,120
least_power_partition,0.4,10,1000,1000,homogeneous,604800,118
least_power,0.5,10,1000,1000,homogeneous,604800,131
least_power_k,0.5,10,1000,1000,homogeneous,604800,127
least_power_partition,0.5,10,1000,1000,homogeneous,604800,128
least_power,0.6,10,1000,1000,homogeneous,604800,137
least_power_k,0.6,10,1000,1000,homogeneous,604800,131
